100000 100
2 100 8300
2 500 9000
1 10 700
3 50 400
2 10000 7500
1 5 1200
3 2000 5500
3 1000 9500
2 6800 10000
1 60000 80000
3 40000 80000
2 200 800
1 80 7000
3 500 70000
2 7000 8500
2 80000 80001
2 60500 70000
2 78000 87000
1 65000 80000
3 70000 90500
2 15 350
1 4500 8600
2 7600 7800
3 7700 8500
2 8200 12000
1 8740 23000
2 34000 76000
3 45000 67500
1 8920 9822
2 76200 85200
2 80200 92500
2 76500 99001
2 100 300
1 100 500
2 7500 24550
2 2100 8720
1 2189 8380
3 2189 9200
2 2900 32700
1 17220 27410
2 13930 31740
1 1900 37200
2 12830 13015
2 31090 31900
2 83190 91300
1 32940 74100
2 31940 38390
3 31940 87050
2 31890 94100
1 9300 28400
1 5939 8500
1 7940 81401
2 8300 48490
3 8040 83090
2 94040 99020
3 84040 87400
3 94840 95060
2 9494 63800
2 84040 89400
2 84829 89738
1 68490 76390
3 76590 83910
2 37910 74640
1 73900 88880
3 77777 89999
1 84949 99999
3 90000 99999
1 7361 8362
1 27383 28390
2 87450 93000
2 12 8943
2 9500 15000
2 7640 22000
1 7260 8720
3 6500 8300
2 3700 20032
1 8390 32700
2 9380 35080
3 67000 32000
2 3280 3281
1 2819 2820
3 2819 2820
2 87407 90000
3 80000 90000
1 8200 76000
2 8270 9200
2 2830 3540
1 7600 8720
3 52000 55000
2 28500 35400
1 80900 85640
1 76500 87200
2 87400 99800
3 90450 92300
1 76500 87500
2 43000 56700
3 2000 80000
1 4300 56000
3 100 99999
3 1 10
