100000 10000
2 5 11
3 15 26
2 20 27
1 3 9
1 5 11
2 1 18
2 4 15
2 1 3
1 19 28
2 10 30
2 9 21
2 4 13
1 17 22
3 11 17
1 8 10
3 1 3
2 6 11
3 12 26
3 11 21
3 20 29
2 4 21
3 9 29
3 13 26
1 6 22
3 3 18
3 6 29
3 9 13
1 2 17
1 10 24
1 14 22
3 14 20
3 8 8
2 2 20
1 18 29
3 4 14
3 6 26
3 7 16
1 4 18
3 20 25
1 3 24
1 12 17
3 16 18
1 20 23
2 13 27
3 9 28
2 9 19
2 9 30
2 10 29
3 14 29
3 10 25
3 20 20
1 17 25
2 5 22
1 20 28
1 3 18
1 12 27
1 7 28
1 5 17
3 8 19
1 8 19
3 6 26
2 19 20
1 8 20
1 8 20
3 3 24
2 13 24
2 8 25
2 10 28
3 18 26
3 3 26
1 14 16
3 19 28
3 18 29
3 19 26
1 2 22
1 20 30
1 20 30
2 13 19
2 5 15
3 18 18
1 15 15
3 17 24
2 3 20
1 16 19
2 5 26
2 17 21
3 8 27
1 17 22
2 8 16
1 12 15
2 15 19
3 10 10
2 8 30
3 14 15
2 17 25
2 14 16
3 12 27
1 2 16
3 5 23
1 3 22
3 15 26
1 6 12
2 13 22
2 7 8
2 12 29
1 17 20
3 13 23
1 9 23
1 8 9
2 6 18
1 3 24
3 16 16
3 13 18
1 15 27
3 11 25
1 3 20
1 19 26
3 9 10
3 9 21
3 2 17
2 15 15
1 12 20
1 19 26
2 13 20
3 18 19
2 20 30
1 9 17
3 18 24
3 17 30
3 2 4
3 1 13
1 13 24
3 3 3
3 19 21
1 14 22
3 10 30
3 9 30
3 12 21
2 19 26
2 3 28
3 8 29
1 5 25
3 15 16
2 6 11
1 4 4
3 19 26
1 8 25
3 1 9
2 19 27
2 8 13
3 20 24
2 3 25
2 16 29
1 1 18
1 9 22
1 13 29
3 1 2
3 16 29
3 5 14
2 13 16
1 4 20
3 1 24
1 8 30
2 2 16
2 14 27
1 9 19
3 8 10
2 1 25
2 8 29
1 1 5
3 11 23
2 6 22
3 9 15
1 8 28
1 15 27
1 19 29
3 5 28
2 19 28
2 8 21
2 13 26
3 12 25
1 11 20
2 19 24
3 2 23
2 2 19
3 1 13
3 13 26
2 18 20
2 16 20
2 17 23
3 11 25
3 14 21
1 13 23
3 16 18
2 15 19
2 12 23
3 18 22
2 12 27
1 7 28
3 4 14
2 4 19
3 20 24
2 1 4
2 13 21
1 12 17
1 3 4
1 10 19
1 17 25
1 2 2
3 14 22
2 1 18
3 11 20
3 20 30
3 20 20
3 20 25
3 11 13
1 9 11
2 19 19
3 18 28
2 8 20
1 10 28
3 2 23
1 2 26
2 10 10
1 9 16
1 9 14
3 1 30
3 5 28
1 9 27
1 6 12
3 9 18
1 5 29
1 1 9
2 6 12
2 13 29
1 7 13
3 9 16
1 7 14
3 10 13
2 11 26
3 9 20
2 6 15
2 12 28
1 1 21
1 9 18
1 14 26
3 14 14
2 6 14
1 18 20
3 16 26
3 7 11
2 7 16
2 17 27
2 14 21
2 11 28
2 17 27
3 3 7
1 12 27
3 4 6
3 10 26
2 12 17
2 1 26
3 10 16
1 4 23
2 8 30
1 6 29
3 18 24
2 13 14
1 9 22
2 17 28
1 2 2
1 15 20
3 6 20
1 19 22
1 15 30
1 2 21
3 13 17
2 6 23
2 9 10
2 5 25
3 14 22
3 7 8
1 14 21
1 8 14
3 6 8
2 11 30
3 2 8
2 3 8
1 20 26
2 5 5
3 6 21
1 13 29
2 17 22
2 10 23
1 18 19
3 20 28
2 4 17
3 7 18
1 11 24
2 2 4
1 13 29
3 2 6
2 1 17
3 10 26
3 14 16
2 15 18
2 7 25
2 6 27
3 16 29
2 6 9
3 9 16
1 9 23
2 12 18
1 14 17
2 12 20
1 2 28
2 20 22
2 4 29
3 15 19
1 9 22
2 13 29
2 1 5
3 18 26
3 4 24
3 1 15
2 20 21
1 14 17
3 20 21
1 7 22
1 13 13
1 1 1
1 19 30
1 3 26
1 20 26
3 6 26
3 19 24
3 19 28
2 9 16
1 13 22
2 11 13
1 3 16
1 14 28
2 13 28
1 15 28
2 8 13
2 7 26
3 6 29
3 14 28
1 15 17
1 7 22
1 4 23
2 6 21
1 7 24
2 9 21
1 20 30
1 9 19
2 13 28
3 15 28
1 18 21
1 13 25
1 14 29
2 6 6
2 10 20
2 5 28
3 15 25
3 1 14
3 14 20
3 18 18
2 17 27
3 1 18
3 14 25
2 12 22
2 3 14
3 17 25
1 15 28
2 10 29
3 9 22
3 16 23
1 18 23
2 8 13
1 3 24
2 3 29
2 9 25
2 8 12
3 3 7
1 12 19
1 1 30
2 12 19
2 3 11
1 16 21
2 11 18
1 7 29
3 6 16
1 1 28
1 3 4
2 18 24
2 8 15
2 3 26
1 14 20
1 3 14
2 20 21
3 12 27
3 2 25
1 9 22
2 10 24
2 16 30
2 11 27
2 1 2
1 8 22
2 6 17
1 3 7
1 6 22
1 9 10
1 4 19
3 10 14
3 17 26
2 7 16
1 8 18
3 15 17
3 17 30
3 10 11
3 13 26
1 9 27
1 5 7
2 5 14
3 10 11
2 5 9
3 2 8
3 18 29
3 19 30
1 9 23
2 12 30
2 8 24
3 1 28
3 4 25
1 12 24
2 7 26
1 19 20
3 14 21
1 8 24
1 16 30
2 17 19
3 8 25
2 15 24
2 3 24
1 16 23
1 4 16
3 14 25
3 17 30
3 17 18
2 8 26
1 14 28
1 10 19
1 12 24
2 15 30
2 8 24
3 2 28
2 7 18
1 5 23
1 9 29
1 3 7
3 4 16
2 15 29
2 15 20
3 20 21
1 15 23
3 12 28
3 15 24
1 17 28
1 3 13
1 6 27
3 14 21
1 10 15
2 20 28
1 1 20
1 9 21
1 13 15
3 17 21
2 9 19
3 2 30
3 19 24
3 3 23
2 3 20
1 3 5
1 5 5
3 15 29
3 9 10
2 11 14
2 10 28
3 12 26
1 7 26
3 18 23
1 1 15
1 19 26
2 10 27
1 5 23
2 7 18
3 4 17
2 6 6
1 6 21
2 7 13
3 19 22
1 4 14
1 7 19
2 12 25
2 11 12
1 20 22
2 19 24
2 2 19
3 9 28
2 16 24
2 19 22
3 9 13
1 1 8
3 3 17
1 4 16
3 15 20
1 7 19
3 11 20
1 19 20
2 19 20
3 2 13
3 18 20
3 18 29
2 4 13
1 7 7
2 20 27
1 4 6
2 9 25
3 5 21
2 15 23
1 1 25
1 15 30
1 18 28
1 10 28
1 1 27
2 19 23
1 2 2
2 16 27
3 13 15
1 19 19
1 16 28
2 4 27
1 20 27
2 5 30
1 15 19
3 12 24
3 16 28
1 18 20
1 6 7
1 4 6
1 11 23
2 19 23
1 20 26
3 16 19
1 16 30
2 4 20
2 18 28
3 18 19
1 10 20
2 17 20
2 17 19
1 20 27
1 12 20
1 3 4
3 2 11
3 3 21
3 6 16
3 12 28
3 15 22
1 12 15
1 9 26
1 12 15
3 8 20
1 10 30
1 17 26
1 11 13
1 6 17
2 1 30
3 8 24
2 5 6
3 20 24
2 4 17
1 16 27
3 5 6
2 5 20
3 1 28
3 13 23
2 10 12
2 9 13
3 2 4
1 3 3
3 7 23
1 2 17
3 3 28
1 11 15
3 7 11
2 15 27
1 2 27
1 3 29
1 7 16
2 12 21
1 9 23
2 18 30
1 9 26
3 15 24
3 1 16
2 4 6
3 2 19
2 3 10
3 8 16
3 16 24
2 1 5
2 19 30
1 6 18
3 17 26
2 20 30
3 7 14
3 8 18
2 4 15
1 13 24
3 20 29
2 2 11
2 1 29
2 8 12
3 20 28
1 3 5
3 16 28
2 10 19
2 15 21
2 15 26
2 11 20
3 2 4
3 3 15
3 11 17
1 6 30
3 17 20
1 1 10
2 12 30
2 1 28
3 1 24
3 9 20
2 2 5
2 11 30
2 9 30
3 2 24
1 3 25
2 14 23
1 9 26
2 18 24
2 7 29
3 18 18
2 1 12
3 7 11
1 8 10
2 20 27
2 13 14
3 10 22
3 3 28
1 2 14
2 19 29
3 11 29
2 19 26
2 12 26
3 17 25
3 4 12
1 1 27
2 8 14
2 15 18
3 11 28
1 18 30
1 9 23
1 1 21
3 5 6
3 15 26
1 3 15
1 14 26
2 15 22
1 9 10
1 17 19
2 13 19
3 4 13
2 2 3
2 18 18
3 7 12
2 3 30
3 12 23
3 13 16
1 6 17
2 3 24
1 3 17
3 17 25
2 11 14
2 14 23
2 3 25
3 20 27
2 12 13
3 11 27
2 16 22
1 20 26
3 18 22
1 6 6
2 12 29
2 19 20
2 16 18
1 14 14
3 18 18
3 18 29
1 5 16
1 2 30
3 19 26
2 20 21
2 15 16
3 13 14
1 4 9
3 10 30
3 15 27
3 7 8
3 19 29
2 5 17
2 5 7
3 12 25
1 19 25
3 20 24
1 18 20
2 12 21
3 14 16
2 4 16
3 17 21
2 8 10
2 19 21
2 4 16
1 10 15
1 19 25
3 20 27
2 16 30
2 4 11
3 2 3
3 16 21
2 8 8
2 4 22
1 4 19
1 12 21
1 2 26
3 20 30
2 13 22
2 12 17
1 15 16
2 18 26
3 6 24
1 2 30
1 17 30
1 8 16
3 20 30
3 1 5
2 12 25
2 10 26
1 20 24
2 16 30
3 16 24
3 1 5
2 16 26
1 15 18
1 4 21
3 11 21
2 15 24
2 4 27
1 11 29
2 11 29
1 11 14
3 16 22
2 18 25
2 16 23
1 6 11
3 1 20
2 11 20
1 18 22
2 1 27
1 17 19
1 12 28
3 10 29
1 14 16
2 3 6
3 11 16
1 18 30
2 2 28
1 14 28
1 12 25
3 19 30
1 14 24
3 6 13
2 14 23
3 3 6
2 5 13
3 17 21
1 6 24
2 12 22
2 9 21
1 2 4
3 13 18
3 20 21
2 12 24
1 7 26
2 7 17
1 3 18
2 5 15
2 2 6
1 20 21
1 17 28
2 7 12
2 5 20
3 9 30
2 5 5
2 5 18
2 19 19
1 20 28
3 11 22
3 12 12
1 19 23
3 3 5
1 13 26
1 4 23
2 7 25
3 11 28
1 15 20
1 1 14
1 5 11
3 19 28
3 3 18
3 8 17
2 17 20
1 9 22
3 16 26
1 12 13
3 1 23
2 1 10
2 9 21
1 12 19
2 9 13
1 6 16
3 1 14
3 4 4
2 19 24
3 6 8
2 5 9
2 14 28
1 4 21
3 3 28
3 11 12
1 14 16
2 9 14
2 18 18
3 10 15
3 12 29
2 10 14
3 6 23
3 16 20
2 11 16
1 2 22
3 19 23
3 15 15
2 13 28
2 15 16
1 16 20
2 13 18
3 15 20
1 2 14
2 2 23
2 8 26
3 17 22
3 18 29
2 16 17
1 2 26
2 9 9
1 5 12
2 5 23
1 4 21
1 16 29
1 16 24
2 18 24
3 10 11
3 10 19
3 17 29
3 1 9
2 8 8
2 14 23
